WingetAppId,InstallContext,InstallOverride
Microsoft.VCRedist.2005.x86,system,
Microsoft.VCRedist.2005.x64,system,
Microsoft.VCRedist.2008.x86,system,
Microsoft.VCRedist.2008.x64,system,
Microsoft.VCRedist.2010.x86,system,
Microsoft.VCRedist.2010.x64,system,
Microsoft.VCRedist.2012.x86,system,
Microsoft.VCRedist.2012.x64,system,
Microsoft.VCRedist.2013.x86,system,
Microsoft.VCRedist.2013.x64,system,
Microsoft.VCRedist.2015+.x86,system,
Microsoft.VCRedist.2015+.x64,system,
Microsoft.VCRedist.2015+.arm64,system,
Microsoft.DotNet.DesktopRuntime.3_1,system,
Microsoft.DotNet.DesktopRuntime.5,system,
Microsoft.DotNet.DesktopRuntime.6,system,
Microsoft.DotNet.DesktopRuntime.7,system,
Microsoft.DotNet.DesktopRuntime.8,system,
Microsoft.DotNet.DesktopRuntime.9,system,
Microsoft.DotNet.AspNetCore.3_1,system,
Microsoft.DotNet.AspNetCore.5,system,
Microsoft.DotNet.AspNetCore.6,system,
Microsoft.DotNet.AspNetCore.7,system,
Microsoft.DotNet.AspNetCore.8,system,
Microsoft.DotNet.AspNetCore.9,system,
Microsoft.DotNet.HostingBundle.3_1,system,
Microsoft.DotNet.HostingBundle.5,system,
Microsoft.DotNet.HostingBundle.6,system,
Microsoft.DotNet.HostingBundle.7,system,
Microsoft.DotNet.HostingBundle.8,system,
Microsoft.DotNet.HostingBundle.9,system,
Microsoft.DotNet.Runtime.3_1,system,
Microsoft.DotNet.Runtime.5,system,
Microsoft.DotNet.Runtime.6,system,
Microsoft.DotNet.Runtime.7,system,
Microsoft.DotNet.Runtime.8,system,
Microsoft.DotNet.Runtime.9,system,
Microsoft.msodbcsql.11,system,
Microsoft.msodbcsql.13,system,
Microsoft.msodbcsql.17,system,
Microsoft.msodbcsql.18,system,
Microsoft.VSTOR,system,
Microsoft.VisualStudio.2022.Professional,system,
Eugeny.Tabby,system,
AGFEO.AGFEODashboard,system,
DominikReichl.KeePass,system,
Loxone.LoxoneConfig,system,
PDFsam.PDFsam,system,
ShiningLight.OpenSSL.Dev,system,
7zip.7zip,system,
Jabra.Direct,system,
Oracle.JavaRuntimeEnvironment,system,
Logitech.OptionsPlus,system,
Google.Chrome,system,
3Dconnexion.3DxWare.10,system,
JGraph.Draw,system,
DYMO.DYMOConnect,system,
SolidWorks.eDrawings,system,
LuxTrust.LuxTrustMiddleware,system,
uvncbvba.UltraVNC,system,
Notepad++.Notepad++,system,
Unity.UnityHub,system,
Yubico.YubiKeySmartCardMinidriver,system,
Flywheel.Local,system,
WinSCP.WinSCP,system,
Greenshot.Greenshot,system,
Microsoft.Azure.StorageExplorer,system,
Microsoft.RemoteDesktopClient,system,
SublimeHQ.SublimeText.4,system,
Proton.ProtonAuthenticator,user,
Citrix.Workspace.LTSR,system,"/silent STORE0=""AppStore;https://testserver.net/Citrix/MyStore/discovery;on;HR App Store"""
